What's your relationship to renting in Bengaluru right now?,"Before you owned a home, did you rent in Bengaluru?",How much did rising rent push you to buy a home?,"Compared to what you once paid, how do today's rents look to you?",Do you think buying a home is still possible for young renters today?,Do you think Bengaluru should put a limit on how much rent can go up?,What would you tell a young renter in Bengaluru today?,How old are you?,What best describes your work right now?,Response Type
I own the home I live in,"Yes, for many years",It was one of the reasons,"Honestly, I would not be able to rent my old life today","Hard, but possible",Disagree,,35 – 44,Senior career,completed
I own the home I live in,"No, I moved into family property",Does not apply — I did not rent before buying,"It is worse now, but I would still manage","Hard, but possible",Agree,Move to North Bengaluru,35 – 44,Mid career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,I do not know what rents are like now,"Yes, but only with help from family/friends",Strongly agree,,25 – 34,Mid career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"Honestly, I would not be able to rent my old life today","Hard, but possible",Agree,,25 – 34,Mid career,completed
I own the home I live in,"Yes, for a short time",Not much — I bought for other reasons,"It is worse now, but I would still manage","Hard, but possible",Not sure,,35 – 44,Not working right now,completed
I own the home I live in,"No, I moved into family property",Does not apply — I did not rent before buying,"Honestly, I would not be able to rent my old life today",Almost impossible now,Strongly agree,Move out if possible,25 – 34,Mid career,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,"It is worse now, but I would still manage","Hard, but possible",Strongly agree,Look for space near to work place as might you will end up paying high rental but you will save ample of other resources that make your life comfortable & will give you enough time to use for your personal growth or peace !,35 – 44,Senior career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"It is worse now, but I would still manage",Almost impossible now,Disagree,,35 – 44,Mid career,completed
I own the home I live in,"Yes, for many years",It was the main reason — I was tired of rent going up,"Honestly, I would not be able to rent my old life today","Hard, but possible",Agree,"If you're sure you want to stay in Bengaluru for the long haul, cut your rent losses and buy as soon as you can. Even though you might be priced out of prime locations initially, find something in your budget and make the move as fast as possible.

P.S. Stay away from ""finfluencers"" who post stuff about rent vs buy. You might be able to save in X years, but your dream home is going to get proportionally expensive too, so take that into account as well.",25 – 34,Mid career,completed
I own the home I live in,"No, I moved into family property",It was one of the reasons,"Honestly, I would not be able to rent my old life today",Almost impossible now,Strongly disagree,"Rent smaller, more convenient which you can sustain even without a job for some time.",35 – 44,Mid career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,About the same as my time,"Yes, if they plan and save",Disagree,Try to find a house through your network. Office colleagues already staying in societies can help you find homes nearby.,25 – 34,Early career,completed
I own the home I live in,"Yes, for many years",It was the main reason — I was tired of rent going up,"It is worse now, but I would still manage","Hard, but possible",Agree,,25 – 34,Mid career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"It is worse now, but I would still manage","Hard, but possible",Disagree,"Skip the typical posh localities, decent homes are available in lot of layouts, just a km away.. Avoid brokers, online websites are good enough",35 – 44,Senior career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"It is worse now, but I would still manage","Yes, but only with help from family/friends",Not sure,Rent only if you can't afford to buy OR have an option to share the rent,35 – 44,Mid career,completed
I own the home I live in,"Yes, for a short time",Not much — I bought for other reasons,About the same as my time,"Yes, if they plan and save",Disagree,Stay disciplined in investing/spending.  Start with a PG for an absolute beginner. Move to a shared apartment/house with friends as you progress.  Depending on life stage you can have an entire home. Take care of the home as it were your own - and you generally are better off from landlord's perspective and rental appreciations are greatly influenced by tenants good behaviour and maintenance of house.,35 – 44,Senior career,completed
I own the home I live in,"Yes, for a short time",It was the main reason — I was tired of rent going up,I do not know what rents are like now,Almost impossible now,Strongly agree,,35 – 44,Mid career,completed
I own the home I live in,"Yes, for a short time",Not much — I bought for other reasons,I do not know what rents are like now,"Yes, if they plan and save",Agree,Don't go over budget,55 and above,Senior career,completed
I own the home I live in,"Yes, for many years",It was the main reason — I was tired of rent going up,"Honestly, I would not be able to rent my old life today",Almost impossible now,Strongly agree,"Be prepared, it's a super brutal market. You pay hong kong rents and would very likely end up with super horrible facilities.",25 – 34,,completed
I own the home I live in,"No, I bought without ever renting here",Does not apply — I did not rent before buying,I do not know what rents are like now,"Yes, but only with help from family/friends",Strongly disagree,,45 – 54,Not working right now,completed
I own the home I live in,"Yes, for many years",It was the main reason — I was tired of rent going up,"Honestly, I would not be able to rent my old life today","Hard, but possible",Strongly agree,,35 – 44,Mid career,completed
I own the home I live in,"Yes, for a short time",Not much — I bought for other reasons,"It is worse now, but I would still manage","Yes, if they plan and save",Not sure,Find something to balance your budget and location. There is enough choice,45 – 54,Senior career,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"Honestly, I would not be able to rent my old life today","Yes, but only with help from family/friends",Strongly agree,Be flexible than being rigid about the location you want to rent in. Patience will get you good options and learn to bargain/negotiate.,45 – 54,Self-employed / run my own business,completed
