What's your relationship to renting in Bengaluru right now?,Where do you live in Bangalore?,"When your rent was last renewed, how much did it go up?","When your landlord last hiked the rent, what happened?",The security deposit you paid was roughly…,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,Dipped into savings to keep up,Delayed other financial goals,None of these,What's the most you'd pay in rent before you'd rather just leave Bengaluru?,Do you think Bengaluru should put a limit on how much rent can go up?,Roughly what share of your monthly take-home pay goes towards rent?,What do you think is the biggest reason Bengaluru rents have risen?,What is the hardest part of renting in Bengaluru today?,How old are you?,What best describes your work right now?,Response Type
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,Moved somewhere with a much longer commute,,,,,,Another 10% and I'm out,Strongly agree,20–30%,IT salaries,"Looking for a house that can offer all of the features such as affordability and connectivity in terms of area where you living, you have to take a call on which is the driving factor for the decision you made",25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I negotiated it down,3–5 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,Too many people moving here,10% increment every year,35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,Haven't faced a rent hike,6–8 months,,,,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,Under 20%,Landlords taking advantage,"Finding a house within your budget in a locality where it has the following no basic amenities -> car parking, power backup, security, elevator & 24x7 water supply",25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I negotiated it down,3–5 months,,,,,,None of these,I'll pay whatever it takes to stay,Agree,Under 20%,Too many people moving here,,35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,,,,,,I'd never leave over rent,Strongly agree,Under 20%,IT salaries,"Landlords increasing rents arbitrarily (and not in a time-bound manner) based on prevailing rents in the locality in complete disregard of other factors like quality of interiors, amenities, etc. of the houses charging such high rents.",35 – 44,Self-employed / run my own business,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",9–10 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,Another 10% and I'm out,Agree,20–30%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",It didn't go up,"I paid it, no discussion",3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,Another 25%,Strongly agree,Under 20%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,Took on flatmates I'd rather not have,,,,Another 10% and I'm out,Agree,20–30%,Brokers,Water issues in Whitefield plays a big role when switching flats in that area.,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",It didn't go up,Haven't faced a rent hike,3–5 months,,,,,,None of these,I'd never leave over rent,Strongly agree,Under 20%,Brokers,There are rent laws on security deposits but no one honors it. Am I supposed to go to indian courts for it? It is clearly written in contract rent and deposit. The law seems toothless,25 – 34,Senior career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Not sure,Under 20%,Landlords taking advantage,Reason 1: Increase in property prices resulting in higher rents.   Reason 2: Rents are being inflated by brokers for commission. Reason 3: Landlords tasted success with renting 1 room for 25 to 50K to 3 people rather than for single tenant.,35 – 44,Senior career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,Too many people moving here,Matching house expectations with commute distance,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",11–20%,"I pushed back, and they didn't budge",3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,I'll pay whatever it takes to stay,Strongly agree,Under 20%,Landlords taking advantage,That I've to see it go away from my account !!,35 – 44,Senior career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",It didn't go up,"I pushed back, and they didn't budge",1–2 months' rent,,,,Dipped into savings to keep up,,,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,Getting fleeced by landlords and brokers,25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Disagree,Under 20%,Too many people moving here,Finding an affordable place close enough to your workplace,25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",6–8 months,,,,,,None of these,Another 10% and I'm out,Strongly agree,Under 20%,Too many people moving here,Traffic and high rentals,35 – 44,Mid career,completed
