What's your relationship to renting in Bengaluru right now?,What area of Bangalore do you rent properties in?,How many houses or flats do you rent out in Bengaluru?,Why did you become a landlord?,"At your last renewal, how much did you raise the rent?",Why did you raise the rent last time?,Do you think the rent is hard for your tenants to pay?,How did you decide your current rent?,How quickly do you find a tenant?,Do you think Bengaluru should put a limit on how much rent can go up?,"If a rent limit cut your earnings, what would you do?","Did you use a broker to find your tenant? If yes, roughly what did it cost you?",How old are you?,What best describes your work right now?,Response Type
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,"I bought it to live in, then moved to a different house",Up to 10%,Other reasons,It is fair for the area,I matched nearby houses,In a few days — many people wanted it,Strongly agree,Keep renting — some rent is better than none,20% of monthly rent,25 – 34,Mid career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",More than five,I bought it to earn rent,More than 40%,People were ready to pay,"To be honest, it is not my worry",The broker or agent told me the rate,It has not been vacant in years,Strongly disagree,There are ways to get around such limits,,25 – 34,Self-employed / run my own business,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,"I bought it to live in, then moved to a different house",Up to 10%,Other reasons,It is fair for the area,I matched nearby houses,In a few days — many people wanted it,Strongly disagree,Keep renting — some rent is better than none,NA,35 – 44,Mid career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",Two,I got it from family / inherited it,Up to 10%,"Rents in the area went up, so I did the same",It is fair for the area,I matched nearby houses,In a few days — many people wanted it,Agree,Keep renting — some rent is better than none,No,45 – 54,Senior career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,"I bought it to live in, then moved to a different house",11–20%,"Rents in the area went up, so I did the same",They can afford it — I checked before renting,The broker or agent told me the rate,More than a month,Disagree,Sell the house,One month rent,45 – 54,Self-employed / run my own business,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,"I bought it to live in, then moved to a different house",I did not raise it,I did not raise it,It is fair for the area,I matched nearby houses,In a few days — many people wanted it,Strongly agree,Keep renting — some rent is better than none,,35 – 44,Mid career,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",One,I bought it to earn rent,Up to 10%,"I was charging low before, so I fixed it",It is fair for the area,I took what the last tenant paid and added a bit,In a few days — many people wanted it,Strongly disagree,Rent it out for short stays instead (like Airbnb),I did not use a broker. I avoid them because both the tenant and owner lose in such a situation. There is absolutely no need to pay a high brokerage when there are so many platforms to list rentals for apartments.,45 – 54,Mid career,completed
I own one or more homes that I rent out,Outer / just outside city limits,One,I bought it for my child or for later use,Up to 10%,"I was charging low before, so I fixed it",It is fair for the area,It covers my costs,In a week or two,Disagree,Rent it out for short stays instead (like Airbnb),no,45 – 54,Not working right now,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",One,I got it from family / inherited it,Up to 10%,"Rents in the area went up, so I did the same",They can afford it — I checked before renting,I matched nearby houses,In a few days — many people wanted it,Strongly agree,Keep renting — some rent is better than none,,25 – 34,Mid career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,"I bought it to live in, then moved to a different house",Up to 10%,"I was charging low before, so I fixed it",They can afford it — I checked before renting,I matched nearby houses,In a few days — many people wanted it,Disagree,Keep renting — some rent is better than none,No,45 – 54,Senior career,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",Three to five,Other reasons,Up to 10%,People were ready to pay,It is fair for the area,"Honestly, whatever I felt I could get",In a few days — many people wanted it,Strongly disagree,There are ways to get around such limits,,35 – 44,Senior career,completed
I own one or more homes that I rent out,"West (Rajajinagar, Malleshwaram, Vijayanagar)",One,"I bought it to live in, then moved to a different house",I did not raise it,I did not raise it,It is fair for the area,I matched nearby houses,It has not been vacant in years,Strongly disagree,Keep renting — some rent is better than none,1 month rent,45 – 54,Senior career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,I bought it to earn rent,Up to 10%,"Rents in the area went up, so I did the same",They can afford it — I checked before renting,"Honestly, whatever I felt I could get",More than a month,Disagree,There are ways to get around such limits,,45 – 54,Senior career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,I bought it to earn rent,I did not raise it,"Rents in the area went up, so I did the same",It is fair for the area,I matched nearby houses,In a week or two,Disagree,There are ways to get around such limits,,25 – 34,Early career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",Two,"I bought it to live in, then moved to a different house",Up to 10%,"Rents in the area went up, so I did the same",They can afford it — I checked before renting,I matched nearby houses,It has not been vacant in years,Not sure,Keep renting — some rent is better than none,no,45 – 54,Senior career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",,"I bought it to live in, then moved to a different house",,,They can afford it — I checked before renting,I matched nearby houses,,Strongly disagree,,No. But used one to find for ourselves when we got one,35 – 44,,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,"I bought it to live in, then moved to a different house",Up to 10%,"Rents in the area went up, so I did the same",They can afford it — I checked before renting,I matched nearby houses,In a few days — many people wanted it,Agree,Keep renting — some rent is better than none,No,35 – 44,,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",Two,"I bought it to live in, then moved to a different house",Up to 10%,People were ready to pay,"Yes, I know it is a real strain for them",I matched nearby houses,In a week or two,Disagree,There are ways to get around such limits,,35 – 44,Senior career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,I got it from family / inherited it,Up to 10%,Other reasons,It is fair for the area,I matched nearby houses,In a few days — many people wanted it,Strongly agree,Keep renting — some rent is better than none,,35 – 44,Self-employed / run my own business,completed
I own one or more homes that I rent out,"West (Rajajinagar, Malleshwaram, Vijayanagar)",One,I got it from family / inherited it,Up to 10%,"Rents in the area went up, so I did the same",They can afford it — I checked before renting,I matched nearby houses,More than a month,Agree,Keep renting — some rent is better than none,Yes. One month's rent. This was set and agreed before search commenced.,55 and above,Not working right now,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",One,"I bought it to live in, then moved to a different house",The house was empty/does not apply,People were ready to pay,They can afford it — I checked before renting,I matched nearby houses,In a few days — many people wanted it,Strongly disagree,Keep renting — some rent is better than none,,25 – 34,Self-employed / run my own business,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",Three to five,I got it from family / inherited it,I did not raise it,I did not raise it,It is fair for the area,I took what the last tenant paid and added a bit,In a few days — many people wanted it,Not sure,Keep renting — some rent is better than none,Yes. Usually half to one month rent from my side and I guess same from the other side,45 – 54,Self-employed / run my own business,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",One,"I bought it to live in, then moved to a different house",Up to 10%,"Rents in the area went up, so I did the same",They can afford it — I checked before renting,I took what the last tenant paid and added a bit,In a week or two,Agree,Keep renting — some rent is better than none,No did not use a broker. Rented it via a reference.,45 – 54,Mid career,completed
I own one or more homes that I rent out,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Two,I got it from family / inherited it,11–20%,"Rents in the area went up, so I did the same",It is fair for the area,"Honestly, whatever I felt I could get",In a week or two,Disagree,There are ways to get around such limits,No,35 – 44,Mid career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",,"I bought it to live in, then moved to a different house",,A new metro or office nearby raised demand,It is fair for the area,,In a week or two,Strongly disagree,Rent it out for short stays instead (like Airbnb),"Yes, half month rent",45 – 54,Senior career,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",One,"I bought it to live in, then moved to a different house",11–20%,Other reasons,"To be honest, it is not my worry","Honestly, whatever I felt I could get",It has not been vacant in years,Strongly disagree,There are ways to get around such limits,no,55 and above,Senior career,completed
I own one or more homes that I rent out,"North (Hebbal, Yelahanka, Airport side)",One,"I bought it to live in, then moved to a different house",11–20%,People were ready to pay,They can afford it — I checked before renting,The broker or agent told me the rate,In a week or two,Disagree,There are ways to get around such limits,"Used online services - paid 15,000/-.",55 and above,Senior career,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",Two,"I bought it to live in, then moved to a different house",Up to 10%,"My costs went up — tax, repairs, loan etc",It is fair for the area,I took what the last tenant paid and added a bit,In a few days — many people wanted it,Disagree,Rent it out for short stays instead (like Airbnb),No,45 – 54,Senior career,completed
