What's your relationship to renting in Bengaluru right now?,You do not live in Bengaluru — but do you have a view on its rents you would like to share?,"When people talk about Bengaluru these days, how often does the high cost of living come up?",Have you ever told someone not to move to Bengaluru — or to think twice — because of the rent or cost of living?,"Have you yourself said no to something in Bengaluru — a job, a move, a transfer — partly because of the cost of living there?",Would lower rent make you consider moving to Bengaluru?,"From the outside, how do Bengaluru's rents compare to your city?","In your own city, is rent a big worry too?",What comes to mind when you think of renting in Bengaluru?,How old are you?,What best describes your work right now?,Response Type
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"Yes, more than once","It made me pause, but was not the deciding factor","Maybe, along with a few other things",Much worse than where I live,"No, rent is manageable here",,25 – 34,Mid career,completed
I don't live in Bengaluru,"No, skip me",,,,,,,,,,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"No, but I have thought about it","No, cost never came into it","Maybe, along with a few other things",Much worse than where I live,"No, rent is manageable here",,25 – 34,Student,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"No, never","No, cost never came into it","No, rent is not why I stay away",My city is actually worse,"Yes, just as bad as Bengaluru sounds",,25 – 34,Senior career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Once in a while,"No, never","It made me pause, but was not the deciding factor","No, rent is not why I stay away",About the same,"Yes, but not as bad","Rent in itself is not the issue. There's plenty of Bangalore outside the Indiranagar Kormanagala HSR triangle but people seem fixated on that area and whine about hefty rents. I stayed in North Bangalore in a 3BHK where my rent was Rs. 40,000 pm. Almost half of what the triangle pays. 

Security Deposit and the exploitative practices around it is a much bigger issue in Bangalore. 5-6 months deposit is a norm and it sucks away a huge part of liquidity especially if you are just moving to the city or shifting to a new place within BLR. I felt the survey should have asked a few questions on that front.",25 – 34,Mid career,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"Yes, more than once",Yes — I turned down or avoided a Bengaluru move over cost,"Maybe, along with a few other things",Much worse than where I live,"Yes, but not as bad",Extortionate,25 – 34,Early career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"Yes, more than once","It made me pause, but was not the deciding factor","No, rent is not why I stay away",Much worse than where I live,"No, rent is manageable here","The difficulty of dealing with landlords - I used to rent in Bangalore. My landlord insisted on a 6 month security deposit and then kept all of it claiming that is std practice in Bangalore. I had already moved, COVID was in swing, and there was no practical way for me to fight it so I let it go but swore to never go back to renting there.",35 – 44,Senior career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"No, but I have thought about it",Does not apply — I never had the chance,I would never move there anyway,About the same,"Yes, just as bad as Bengaluru sounds",,25 – 34,Mid career,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"Yes, more than once",Yes — I turned down or avoided a Bengaluru move over cost,"No, rent is not why I stay away",Much worse than where I live,"Yes, but not as bad",,25 – 34,Senior career,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"No, never",Does not apply — I never had the chance,"No, rent is not why I stay away",About the same,"Yes, but not as bad",,Under 25,Student,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"Yes, more than once",Does not apply — I never had the chance,"Maybe, along with a few other things",Much worse than where I live,"No, rent is manageable here",,Under 25,Early career,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"I would actually tell them to go, rent or not","It made me pause, but was not the deciding factor","Maybe, along with a few other things",I used to live in Bengaluru — the rent is why I left,"No, rent is manageable here",,25 – 34,Mid career,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"Yes, more than once","It made me pause, but was not the deciding factor","Maybe, along with a few other things",Much worse than where I live,"No, rent is manageable here",Traffic and empty bank balance,25 – 34,Mid career,completed
I don't live in Bengaluru,"No, skip me",,,,,,,,,,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"Yes, more than once",Does not apply — I never had the chance,I would never move there anyway,Much worse than where I live,"No, rent is manageable here","Due to rent pressure, need to compromise on quality and distance from work",45 – 54,Senior career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"No, but I have thought about it",Does not apply — I never had the chance,"No, rent is not why I stay away",My city is actually worse,"Yes, just as bad as Bengaluru sounds",A large chunk of earnings get deployed in paying off rent only which creates a sense that how can I plan a better future for me and my family of I keep on paying so much in rent month on month,25 – 34,Mid career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"No, never","No, cost never came into it","No, rent is not why I stay away",About the same,"Yes, just as bad as Bengaluru sounds",,35 – 44,Senior career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"I would actually tell them to go, rent or not",Does not apply — I never had the chance,"Maybe, along with a few other things",My city is actually worse,"Yes, just as bad as Bengaluru sounds",Security Deposit,25 – 34,Mid career,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"Yes, more than once","It made me pause, but was not the deciding factor","Maybe, along with a few other things",Much worse than where I live,"No, rent is affordable where I live","High but not as bad as Mumbai but definitely worse than Gurgaon. Three Cities that I have been in, and that I find comparable",Under 25,Early career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"Yes, more than once","It made me pause, but was not the deciding factor","Maybe, along with a few other things",My city is actually worse,"Yes, but not as bad",Expensive,25 – 34,Mid career,completed
I don't live in Bengaluru,"No, skip me",,,,,,,,,,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"No, never",Does not apply — I never had the chance,"No, rent is not why I stay away",I do not know how they compare,"Yes, but not as bad",,45 – 54,Self-employed / run my own business,completed
I don't live in Bengaluru,"No, skip me",,,,,,,,,,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"No, never","No, cost never came into it","Maybe, along with a few other things",My city is actually worse,"Yes, just as bad as Bengaluru sounds",,Under 25,Mid career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"No, never","No, cost never came into it","No, rent is not why I stay away",Much worse than where I live,"No, rent is affordable where I live",Should be close enough to avoid the horrid traffic while keeping rent and facilities reasonable.,25 – 34,Early career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Once in a while,"No, never","No, cost never came into it","No, rent is not why I stay away",About the same,"No, rent is manageable here",How long will i have to commute in hellish traffic,45 – 54,Self-employed / run my own business,completed
I don't live in Bengaluru,"Yes, I have thoughts",Once in a while,"No, never","No, cost never came into it","No, rent is not why I stay away",My city is actually worse,"Yes, just as bad as Bengaluru sounds",Rent is an issue for anyone making sub-10LPA,25 – 34,Early career,completed
I don't live in Bengaluru,"No, skip me",,,,,,,,,,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"I would actually tell them to go, rent or not",Does not apply — I never had the chance,"No, rent is not why I stay away",My city is actually worse,"Yes, just as bad as Bengaluru sounds","You get great value for money compared to a city like Mumbai. However, the fact that brokers charge a months rent at every renewal continues to boggle my mind.",35 – 44,Self-employed / run my own business,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"No, but I have thought about it","It made me pause, but was not the deciding factor","Maybe, along with a few other things",I do not know how they compare,"No, rent is manageable here",Overpriced,35 – 44,Mid career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"No, never","It made me pause, but was not the deciding factor",,My city is actually worse,"Yes, just as bad as Bengaluru sounds",Traffic vs Rent,35 – 44,,completed
I don't live in Bengaluru,"Yes, I have thoughts",,"No, but I have thought about it",Yes — I turned down or avoided a Bengaluru move over cost,"Maybe, along with a few other things",Much worse than where I live,"No, rent is manageable here",Money that I pay is not going to be worth it. Either I will stay to far from the workplace or compromise on the space if I would save on the rent,25 – 34,Mid career,completed
I don't live in Bengaluru,,,,,,,,,,,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"No, but I have thought about it",Does not apply — I never had the chance,"Maybe, along with a few other things",Much worse than where I live,"Yes, but not as bad",Rents in bangalore are high,25 – 34,Mid career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"No, but I have thought about it","It made me pause, but was not the deciding factor","Maybe, along with a few other things",My city is actually worse,"Yes, just as bad as Bengaluru sounds",,25 – 34,Mid career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Once in a while,"No, but I have thought about it","No, cost never came into it","No, rent is not why I stay away",About the same,"Yes, just as bad as Bengaluru sounds",Living close to office has become impossible for most people which further worsens the traffic on road,25 – 34,Mid career,completed
I don't live in Bengaluru,"Yes, I have thoughts",,"Yes, more than once",,"No, rent is not why I stay away",,"No, rent is manageable here",,35 – 44,Mid career,completed
I don't live in Bengaluru,,,,,,,,,,,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,,"It made me pause, but was not the deciding factor","Maybe, along with a few other things",My city is actually worse,"Yes, just as bad as Bengaluru sounds",The high cost of living in a reasonable apartment with facilities,25 – 34,,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"Yes, more than once",Yes — I turned down or avoided a Bengaluru move over cost,"Yes, rent is the main thing holding me back",Much worse than where I live,"Yes, but not as bad","Prohibitively expensive deposits, poor tenancy rights",45 – 54,Senior career,completed
I don't live in Bengaluru,"No, skip me",,,,,,,,,,completed
I don't live in Bengaluru,"Yes, I have thoughts",,"Yes, more than once","No, cost never came into it","No, rent is not why I stay away",Much worse than where I live,"No, rent is manageable here","The 10 month deposit is nonsensical and probably is from a time when Bangalore was a small city (it still feels like a small-minded city but that’s a different issue). It is unfair to liquidity-poor folks like students, interns, first-job-holders from smaller towns(?). Highly unfair.",35 – 44,Senior career,completed
I don't live in Bengaluru,,,,,,,,,,,completed
I don't live in Bengaluru,"Yes, I have thoughts",Rarely,"I would actually tell them to go, rent or not","No, cost never came into it","No, rent is not why I stay away",My city is actually worse,"No, rent is manageable here","Better Choices. Be it Location, amenities, Maintenence, layout, ambience, neighbours and residents, services",55 and above,Self-employed / run my own business,completed
I don't live in Bengaluru,,,,,,,,,,,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"I would actually tell them to go, rent or not","It made me pause, but was not the deciding factor","Maybe, along with a few other things",My city is actually worse,"Yes, but not as bad","High security deposits, and hair-cut during exit.",25 – 34,Early career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"No, but I have thought about it","No, cost never came into it","Maybe, along with a few other things",About the same,"Yes, just as bad as Bengaluru sounds",Expensive,25 – 34,Student,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,,Yes — I turned down or avoided a Bengaluru move over cost,,Much worse than where I live,"Yes, but not as bad","Cost for what's offered. And yearly increase spent keep up with salary, and deposit expectation and charges by the landlord when you leave. No transparency, and worst is brokers.",35 – 44,Senior career,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"Yes, once",Does not apply — I never had the chance,"Maybe, along with a few other things",Much worse than where I live,"No, rent is manageable here","Half the salary is gone in rent. It's almost the same as the EMI I spend on my house right now. But in Bangalore, this EMI won't even suffice.",35 – 44,Mid career,completed
I don't live in Bengaluru,"No, skip me",,,,,,,,,,completed
I don't live in Bengaluru,"No, skip me",,,,,,,,,,completed
I don't live in Bengaluru,,,,,,,,,,,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"Yes, more than once",Yes — I turned down or avoided a Bengaluru move over cost,"Yes, rent is the main thing holding me back",Much worse than where I live,"Yes, but not as bad",High Security Deposits,25 – 34,Early career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Rarely,"No, never","No, cost never came into it","No, rent is not why I stay away",My city is actually worse,"Yes, just as bad as Bengaluru sounds","Lower per sqft rent, bigger flats and online broking platforms.. Better than Mumbai.. It's relative",35 – 44,Mid career,completed
I don't live in Bengaluru,"No, skip me",,,,,,,,,,completed
I don't live in Bengaluru,"Yes, I have thoughts",Once in a while,"Yes, once",Does not apply — I never had the chance,"Maybe, along with a few other things",Much worse than where I live,"No, rent is manageable here",Not as bad as Mumbai,35 – 44,Mid career,completed
I don't live in Bengaluru,"No, skip me",,,,,,,,,,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"Yes, more than once",Yes — I turned down or avoided a Bengaluru move over cost,"Maybe, along with a few other things",I do not know how they compare,"Yes, but not as bad",,Under 25,Early career,completed
I don't live in Bengaluru,"Yes, I have thoughts",Fairly often,"No, never",Does not apply — I never had the chance,I would never move there anyway,My city is actually worse,"Yes, just as bad as Bengaluru sounds",,25 – 34,,completed
I don't live in Bengaluru,"Yes, I have thoughts",Once in a while,"No, never","No, cost never came into it","No, rent is not why I stay away",My city is actually worse,"Yes, just as bad as Bengaluru sounds",Good quality options in all neighbourhoods,55 and above,Self-employed / run my own business,completed
I don't live in Bengaluru,"Yes, I have thoughts",All the time — it is the first thing people mention,"No, but I have thought about it","It made me pause, but was not the deciding factor","Maybe, along with a few other things",Much worse than where I live,"No, rent is manageable here","Other than food everything is expensive. Commute, Rent, Living Cost etc.",45 – 54,Senior career,completed
I don't live in Bengaluru,,,,,,,,,,,completed
