Data in %,1950,1954,1970,1974,1976,1985,1993,2001,2005,2010,2011,2020,Sep-23,Dec-23,Mar-24,Jun-24,Sep-24,Dec-24,Mar-25,Jun-25,Sep-25,Dec-25,Mar-26,Jun-26
BAT (British American Tobacco),,,,,,,,,,,,,,,,,,,,,,,,
FIIs -,,,,,,,,,,,,,,,,,,,,,,,,
Tobacco Manufacturers (India) Limited,,,,,,,,,,,,,,,,,,,,,,,,
Myddleton Investment Company Limited,,,,,,,,,,,,,,,,,,,,,,,,
Rothmans International Enterprises Limited,,,,,,,,,,,,,,,,,,,,,,,,
Total ShareHolding,100,93,75,60,40,33,32,33,32,32,31,31,29,29,26,26,25,25,25,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,
FII (Foreign Institutional Investor),,,,,,,,,,,,,,,,,,,,,,,,
GQG Partners Emerging Markets Equity Fund,,,,,,,,,,,,,,,,,,,,,,,,
Goldman Sachs Trust II - Goldman Sachs GQG,,,,,,,,,,,,,,,,,,,,,,,,
Government of Singapore,,,,,,,,,,,,,,,,,,,,,,,,
Total ShareHolding,-,-,-,-,-,-,-,11,17,13,14,15,14,14,15,15,15,15,14,15,14,13,12,11
,,,,,,,,,,,,,,,,,,,,,,,,
Govt institutions,,,,,,,,,,,,,,,,,,,,,,,,
Life Insurance Corporation of India,,,,,,,,,,,,,,,,,,,,,,,,
Specified Undertaking of the Unit Trust of India,,,,,,,,,,,,,,,,,,,,,,,,
General Insurance Corporation of India,,,,,,,,,,,,,,,,,,,,,,,,
The New India Assurance Company Limited,,,,,,,,,,,,,,,,,,,,,,,,
The Oriental Insurance Company Limited,,,,,,,,,,,,,,,,,,,,,,,,
DII (Domestic Institutional Investor),,,,,,,,,,,,,,,,,,,,,,,,
SBI Mutual Funds,,,,,,,,,,,,,,,,,,,,,,,,
ICICI Prudential Mutual Funds,,,,,,,,,,,,,,,,,,,,,,,,
Parag Parikh Mutual Funds,,,,,,,,,,,,,,,,,,,,,,,,
NPS Trust (various Pension Funds),,,,,,,,,,,,,,,,,,,,,,,,
Nippon Life India Trustee Mutual Funds,,,,,,,,,,,,,,,,,,,,,,,,
Parag Parikh Flexi Cap Mutual Funds,,,,,,,,,,,,,,,,,,,,,,,,
SBI Nifty 50 ETF,,,,,,,,,,,,,,,,,,,,,,,,
UTI Mutual Funds,,,,,,,,,,,,,,,,,,,,,,,,
HDFC Mutual Funds,,,,,,,,,,,,,,,,,,,,,,,,
Mirae Asset Mutual Funds,,,,,,,,,,,,,,,,,,,,,,,,
Total ShareHolding,-,0,10,19,28,34,38,35,34,37,36,40,42,42,44,44,45,45,45,47,47,49,49,49
,,,,,,,,,,,,,,,,,,,,,,,,
Public - Retail,-,7,15,21,32,33,30,21,16,18,19,14,15,15,15,15,15,15,16,15,16,15,16,17
,,,,,,,,,,,,,,,,,,,,,,,,
total,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
